MAPID,YEAR_CREATED,NAME,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,MERGED_ADDRESS,LATITUDE,LONGITUDE,NUMBER_OF_PLOTS,NUMBER_OF_FOOD_TREES,NOTES,FOOD_TREE_VARIETIES,OTHER_FOOD_ASSETS,JURISDICTION,STEWARD_OR_MANAGING_ORGANIZATION,PUBLIC_E_MAIL,WEBSITE
FA096,2013,Matheson Heights Housing Coop,3554,,Sparrow,Place,"3554  Sparrow Place, Vancouver BC",49.2131744,-123.0257105,16,,,,,Private,,,
FA101,2013,Menno Simmons centre,4000,W,11th,Av,"4000 W 11th Av, Vancouver BC",49.2626337,-123.1939437,10,,,,,Private,,,
FA102,2013,Millross Gardens on Main,989,,Main,St,"989  Main St, Vancouver BC",49.2762031,-123.1004947,130,,,,,Private,Amacon,info@millrossgardensonmain.com,http://www.milrossgardensonmain.com/
FA137,2013,The Drive Community Garden,1705,E,12th,Av,"1705 E 12th Av, Vancouver BC",49.259829,-123.069364,112,,,,,Private,Shifting Growth,garden@shiftinggrowth.com,www.shiftinggrowth.com
FA002,2014,15th Avenue Coop,1255,E,15th,Av,"1255 E 15th Av, Vancouver BC",49.2571193,-123.0788387,8,,,,,Private,,,
FA049,2014,DTES Market location,62,E ,Hastings,St,"62 E  Hastings St, Vancouver BC",49.2810918,-123.1027168,6,,,,,Private,DTES Market,,
FA115,2014,Princess and Cordova,248,,Princess,Av,"248  Princess Av, Vancouver BC",49.282147,-123.091439,20,,,,,Private,Servants Canada,,
FA011,2015,BC Seniors Living Assoc. Garden,3355,E ,5 th,Av,"3355 E 5th Av, Vancouver BC",49.266474,-123.032578,11,,,,,Private,BC Seniors Living Assoc. Beulah Homes Society,,
FA091,2015,Let’s Grow Together! Community Garden ,2475,,Franklin,St,"2475 Franklin St, Vancouver BC",49.282211,-123.05491,6,,,,,Private,St. David of Wales Angclican Church,,
FA119,2015,Rooted for Life Garden,1415,,Barclay,St,"1415  Barclay St, Vancouver BC",49.287355,-123.132872,,,,,,Private,,,
FA130,2015,St. Augustines Anglican Church,8680,,Hudson ,St,"8680  Hudson  St, Vancouver BC",49.207178,-123.134266,8,,,,,Private,St. Augustines Anglican Church,,
FA138,2015,The James Garden & Social Community,288,W,1st ,Av,"288 W 1st Ave, Vancouver",49.269003,-123.111763,12,,,,,Private,,,
FA157,2016,City Heights,155,E,37,Ave,155 East 37th Ave,49.232228,-123.102833,,,,,,Private,City Heights,,
FA154,2016,Community Alternatives Coop Community Garden,1937,W,2nd,Ave,"1937 W 2nd Avenue, Vancouver BC",49.270065,-123.149194,20,,,,,Private,,,
FA151,2016,Deeper Roots Seniors Community Garden,5350,,Baillie,St,"5350 Baillie Street, Vancouver BC",49.2369358,-123.1218448,10,,,,,Private,Oakridge Adventist Church,,deeproots.ca
FA156,2016,Pender Community Garden,2595,E ,Pender,St,2595 E Pender Street,49.28068,-123.052293,,,,,,Private,,,
FA155,2016,Vera Community Garden,575,SW,Marine ,Drive,"575 SW Marine Drive, Vancouver BC",49.209683,-123.119179,12,,,,,Private,,,www.communityalternativescoop.com
FA 151,2016,HFBC Housing Foundation ,2924,,Venables ,St,"2924 Venables St, Vancouver, BC",49.276211,-123.043281,12,,,,,Private,HFBC Housing Foundation ,,
FA 152,2016,HFBC Housing Foundation ,2950,,Euclid,St,"2950 Euclid St, Vancouver, BC",49.240111,-123.043697,12,,,,,Private,HFBC Housing Foundation ,,
FA001,Pre-2010,0 - Private Developments - Community Shared,,,,,,,,507,,,,,Private,,,
FA005,,2624 Franklin St - Apartment,2624,,Franklin,St,"2624  Franklin St, Vancouver BC",49.2818051,-123.0512664,2,,,,,Private,,,
FA023,,Champlain Place Community Garden,3347,E,58th,Av,"3347 E 58th Av, Vancouver BC",49.2167296,-123.0352463,8,,,,,Private,BC Housing,,
FA070,,Habitat Villa - Metro Housing,3859,W,2nd,Av,"3859 W 2nd Av, Vancouver BC",49.2704557,-123.1903871,4,,,,,Private,Habitat Villa/Metro Housing,,
FA124,,South Vancouver Family Place 2,7715,,Muirfield,Drive,"7715  Muirfield Drive, Vancouver BC",49.2141567,-123.056519,3,,,,,Private,South Vancouver Family Place,,
FA066,pre 2000,Grandview Elementary Community Garden,2055,,Woodland,Drive,"2055  Woodland Drive, Vancouver BC",49.265917,-123.07831,24,yes,3mx3m community plots in addition to school garden,yes,Earth Tub composter,Other,Grandview Garden Coordinator (VCH SMART funding),,
FA039,2006,Collingwood Community Gardens,3100,,Vanness,Av,"3100  Vanness Av, Vancouver BC",49.2418609,-123.0406868,30,,,,,Translink,Renfrew Collingwood Food Security Institute,foodsecurity@cnh.bc.ca,http://rcfsi.blogspot.ca
FA019,2008,Cedar Cottage Garden,2021,,Stainsbury ,Av,"2021  Stainsbury  Av, Vancouver BC",49.251444,-123.0642552,61,13,,"EARLY MCINTOSH; GOLDEN DELICIOUS SMOOTHEE APPLE; SHAMROCK APPLE; CRIMSON PASSION CHERRY; RAINIER CHERRY; SKEENA CHERRY; DAMSON PLUM; ITALIAN PLUM; REDGLOW PLUM - HARDY; PERSIMMON, plums, fig, pear",,Translink,Cedar Cottage Garden Society ,ccgmembershipteam@gmail.com,https://sites.google.com/site/cedarcottagegarden/
